Quarter,Region,iPhone Model,Units Sold,Revenue (Local),Currency,Exchange Rate,Revenue (USD)
Q1 2020,US,iPhone 12,93001,93001000,USD,1.0,93001000.0
Q1 2020,US,iPhone 13,126552,132879600,USD,1.0,132879600.0
Q1 2020,US,iPhone 14,73897,81286700,USD,1.0,81286700.0
Q1 2020,US,iPhone 15,118148,135870200,USD,1.0,135870200.0
Q1 2020,EU,iPhone 12,73483,69808850,EUR,0.91,76713021.97802198
Q1 2020,EU,iPhone 13,98555,98555000,EUR,0.91,108302197.8021978
Q1 2020,EU,iPhone 14,67159,70516950,EUR,0.91,77491153.84615384
Q1 2020,EU,iPhone 15,130077,143084700,EUR,0.91,157235934.06593406
Q1 2020,Asia,iPhone 12,85920,68736000,INR,83.0,828144.578313253
Q1 2020,Asia,iPhone 13,142067,120756950,INR,83.0,1454903.0120481928
Q1 2020,Asia,iPhone 14,117121,105408900,INR,83.0,1269986.746987952
Q1 2020,Asia,iPhone 15,119479,113505050,INR,83.0,1367530.7228915663
Q2 2020,US,iPhone 12,139475,139475000,USD,1.0,139475000.0
Q2 2020,US,iPhone 13,69457,72929850,USD,1.0,72929850.0
Q2 2020,US,iPhone 14,116557,128212700,USD,1.0,128212700.0
Q2 2020,US,iPhone 15,127189,146267350,USD,1.0,146267350.0
Q2 2020,EU,iPhone 12,128953,122505350,EUR,0.91,134621263.73626372
Q2 2020,EU,iPhone 13,102995,102995000,EUR,0.91,113181318.68131867
Q2 2020,EU,iPhone 14,90757,95294850,EUR,0.91,104719615.38461538
Q2 2020,EU,iPhone 15,59692,65661200,EUR,0.91,72155164.83516483
Q2 2020,Asia,iPhone 12,95758,76606400,INR,83.0,922968.6746987952
Q2 2020,Asia,iPhone 13,122409,104047650,INR,83.0,1253586.1445783132
Q2 2020,Asia,iPhone 14,121211,109089900,INR,83.0,1314336.1445783132
Q2 2020,Asia,iPhone 15,115697,109912150,INR,83.0,1324242.7710843373
Q3 2020,US,iPhone 12,87065,87065000,USD,1.0,87065000.0
Q3 2020,US,iPhone 13,142093,149197650,USD,1.0,149197650.0
Q3 2020,US,iPhone 14,149299,164228900,USD,1.0,164228900.0
Q3 2020,US,iPhone 15,82606,94996900,USD,1.0,94996900.0
Q3 2020,EU,iPhone 12,61534,58457300,EUR,0.91,64238791.208791204
Q3 2020,EU,iPhone 13,144663,144663000,EUR,0.91,158970329.67032966
Q3 2020,EU,iPhone 14,90397,94916850,EUR,0.91,104304230.76923077
Q3 2020,EU,iPhone 15,141387,155525700,EUR,0.91,170907362.63736263
Q3 2020,Asia,iPhone 12,51016,40812800,INR,83.0,491720.4819277108
Q3 2020,Asia,iPhone 13,139789,118820650,INR,83.0,1431574.096385542
Q3 2020,Asia,iPhone 14,105591,95031900,INR,83.0,1144962.6506024096
Q3 2020,Asia,iPhone 15,139812,132821400,INR,83.0,1600257.8313253012
Q4 2020,US,iPhone 12,73247,73247000,USD,1.0,73247000.0
Q4 2020,US,iPhone 13,74300,78015000,USD,1.0,78015000.0
Q4 2020,US,iPhone 14,124065,136471500,USD,1.0,136471500.0
Q4 2020,US,iPhone 15,132798,152717700,USD,1.0,152717700.0
Q4 2020,EU,iPhone 12,59268,56304600,EUR,0.91,61873186.81318681
Q4 2020,EU,iPhone 13,136807,136807000,EUR,0.91,150337362.63736263
Q4 2020,EU,iPhone 14,62185,65294250,EUR,0.91,71751923.07692307
Q4 2020,EU,iPhone 15,113704,125074400,EUR,0.91,137444395.6043956
Q4 2020,Asia,iPhone 12,136779,109423200,INR,83.0,1318351.8072289156
Q4 2020,Asia,iPhone 13,89099,75734150,INR,83.0,912459.6385542168
Q4 2020,Asia,iPhone 14,58571,52713900,INR,83.0,635107.2289156626
Q4 2020,Asia,iPhone 15,88044,83641800,INR,83.0,1007732.530120482
Q1 2021,US,iPhone 12,101214,101214000,USD,1.0,101214000.0
Q1 2021,US,iPhone 13,111228,116789400,USD,1.0,116789400.0
Q1 2021,US,iPhone 14,98984,108882400,USD,1.0,108882400.0
Q1 2021,US,iPhone 15,90774,104390100,USD,1.0,104390100.0
Q1 2021,EU,iPhone 12,52568,49939600,EUR,0.91,54878681.318681315
Q1 2021,EU,iPhone 13,112592,112592000,EUR,0.91,123727472.52747253
Q1 2021,EU,iPhone 14,117563,123441150,EUR,0.91,135649615.3846154
Q1 2021,EU,iPhone 15,52695,57964500,EUR,0.91,63697252.74725275
Q1 2021,Asia,iPhone 12,98190,78552000,INR,83.0,946409.6385542168
Q1 2021,Asia,iPhone 13,55258,46969300,INR,83.0,565895.1807228916
Q1 2021,Asia,iPhone 14,137538,123784200,INR,83.0,1491375.903614458
